Time,Epoch,Fp1,FP2,F3,Fz,F4,T7,C3,Cz,C4,T8,P3,Pz,P4,PO7,PO8,Oz,Event Id,Event Date,Event Duration
0.395999999,12,-82.68871907,-121.3228988,-32.97202289,-34.14001207,-67.28091458,-58.4079858,-51.89205614,-48.03536926,-57.52993849,-59.06127108,-7.165364042,-19.00773308,-37.97485436,-3.682686206,15.58893313,25.00600992,,,
0.399999999,12,-91.0848354,-132.4276343,-33.06592016,-35.20852002,-73.05580804,-63.55032986,-53.35665985,-50.77600983,-57.42712162,-60.6425808,-8.897746852,-16.50662983,-38.65138787,-4.608743895,12.92846795,22.46939004,,,
0.403999999,12,-91.55080872,-134.1091058,-34.91106532,-36.00716574,-77.13329262,-67.05402068,-54.40790027,-53.18980958,-56.91811749,-58.9826496,-9.613671441,-12.95492457,-38.24176468,-4.486221638,10.72464142,20.72125519,,,
0.407999999,12,-84.61749719,-125.7487106,-40.54143577,-38.70238818,-82.10305803,-69.43510796,-55.46862209,-55.86805374,-57.23792923,-56.08656019,-11.18728314,-10.23583811,-38.85111108,-4.73669102,9.651785445,19.37375308,,,
0.411999999,12,-74.80868834,-111.5617011,-50.57929,-45.50504051,-90.28437104,-71.19805273,-56.61394295,-59.04355588,-59.0534438,-54.07611421,-15.73016759,-10.39111717,-42.39910533,-7.179306983,9.774529864,17.24968633,,,
0.415999999,13,-67.83477116,-98.15568438,-63.53114669,-57.0215204,-102.0057216,-72.540964,-57.5652594,-62.43187038,-62.00457814,-54.11130058,-23.95562225,-14.24710297,-49.23321589,-12.47457055,10.33510445,13.39193668,,,
0.419999999,13,-67.7144854,-90.7451828,-76.73683672,-71.80805205,-115.3334276,-73.6787101,-58.32956357,-65.84829814,-65.24459311,-56.27808581,-34.63605618,-21.00848693,-58.00244926,-19.4530465,10.09814368,7.792496158,,,
0.423999999,13,-75.28267122,-90.65384406,-88.07254713,-87.27054965,-127.2631704,-75.08127373,-59.46437997,-69.63441164,-68.24769083,-59.98575785,-45.39343228,-28.99284242,-66.62692666,-25.75874398,8.121821752,1.49985274,,,
0.427999998,13,-88.15134077,-95.4079736,-96.97461937,-101.0857303,-135.3577869,-77.04010208,-61.45798841,-74.15517851,-70.91706511,-64.20562625,-54.01319941,-36.71902065,-73.34568653,-29.3259371,4.523165542,-3.859755468,,,
0.431999998,13,-102.004492,-100.9043648,-104.1528354,-112.192353,-138.8386258,-78.94551691,-63.95457003,-78.97021781,-73.07596356,-67.66060381,-59.36765277,-43.56361065,-77.27246441,-29.61850085,0.629882086,-7.007197527,,,
0.435999998,13,-112.7477181,-103.9788425,-110.4808954,-120.7430031,-138.6886985,-79.26743903,-65.74942307,-82.85200927,-74.19920619,-69.29829287,-61.47402679,-49.71698461,-78.49705729,-27.67889125,-1.807873651,-7.926727769,,,
0.439999999,13,-118.2767028,-103.7110639,-116.1029476,-127.2247635,-136.9351673,-76.593452,-65.57082739,-84.77243367,-73.77250192,-68.78831299,-60.92540801,-55.71812915,-77.85134889,-25.10162148,-1.821224162,-8.085445982,,,
0.443999999,13,-118.8239251,-100.9410335,-120.4155427,-131.7246761,-135.647984,-70.83847653,-62.90822747,-84.72320181,-71.75780354,-66.51128762,-58.39140285,-62.0340766,-76.39061747,-22.95292416,0.198261478,-9.59683544,,,
0.447999999,14,-115.9997536,-96.86001982,-122.6715127,-134.0017105,-136.1310289,-63.38317006,-58.22967654,-83.45731261,-68.5332082,-63.03000497,-54.4982088,-68.82776557,-74.74184808,-21.37328918,2.963129011,-13.72452527,,,
0.451999998,14,-111.3872141,-91.94053788,-122.4210726,-133.9680781,-138.4888707,-55.92868666,-52.51025333,-81.49682025,-64.37826254,-58.57662825,-49.74188438,-75.77362603,-72.62515351,-19.75574495,5.20489517,-19.72341851,,,
0.455999998,14,-105.5204373,-85.82733323,-119.362073,-131.8504413,-141.5985607,-49.21324986,-46.50837989,-78.4374978,-59.10761017,-52.98124216,-44.20598274,-81.97304493,-68.89207121,-17.08072138,6.252371236,-24.91929847,,,
0.459999998,14,-97.84430233,-77.99979911,-112.9846146,-127.9658592,-143.5539998,-42.87362519,-40.38136286,-73.21435376,-52.2486519,-45.99312963,-37.45677524,-86.20563117,-62.20880232,-12.26740191,6.061349315,-26.0949577,,,
