bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
0,0.43,-10561.9,-5140.6,-10687.2,-8949.7,4120.8,4582.8,1003.9,-4421.3,-7515.9,6388,-2295.4,4312.9,2393.9,2425.6,4245.4,,
0,0.4333,-5016.8,-1269.4,-5547.4,-3756.8,1032.1,1391.6,-1246.1,-1132.8,11903.9,2348.8,-4275.5,669.3,246.1,268.7,1317.8,,
0,0.4367,-2724.8,-2729.3,-4820.2,-3253.4,2867,3513.9,1767.3,-3029.8,-7872.4,3977.4,-4241.3,1829,2090.4,2681.7,3633.4,,
0,0.44,-5933.7,-8048.7,-9206.8,-7918.9,7785.3,8819,7046.6,-8196.9,-47136.9,9628.2,-2226.1,6625.5,6058.6,7243.2,8870.4,,
0,0.4433,-11400.1,-11899.9,-14297.9,-13067.6,10861.1,11992.5,9332.4,-11452.8,-66719.9,13636.5,-232.9,10256.8,8160.3,9380.2,11784.9,,
0,0.4467,-13629.6,-10421.8,-14972.9,-13531.8,9008.3,9848.4,6348.8,-9529.4,-47145.2,11979.8,-193.8,9082.8,6316.1,6962.1,9452.8,,
0,0.45,-10364.8,-5079.4,-10512.4,-8827.3,4071.6,4515.5,1070.7,-4340.5,-8104.4,6298.6,-2044.8,4266.8,2452.4,2443.2,4195.9,,
0,0.4533,-4839.3,-1201.3,-5321.6,-3637.9,986.8,1312.5,-1246.7,-1069.9,11229.9,2256.5,-3836,617.1,546,399.1,1263.8,,
0,0.4567,-2547.6,-2655.2,-4538.4,-3133.8,2846,3431.8,1690.4,-2988.8,-8628.4,3880.3,-3721.7,1782,2594,2925.1,3586.2,,
0,0.46,-5755.8,-7981.6,-8907.6,-7801.5,7799.7,8747.2,6932.1,-8182,-47985.3,9533.9,-1803,6600.4,6580,7519.1,8841.1,,
0,0.4633,-11236.4,-11848.9,-14038.1,-12954.6,10896.5,11935.7,9236.2,-11455,-67621.8,13551.2,9,10255.5,8491.7,9578.4,11770.2,,
0,0.4667,-13489.5,-10377.5,-14786,-13415.3,9027.8,9796.5,6303.3,-9521.5,-47973.2,11897.5,-63,9085.4,6367.8,7017,9432.6,,
0,0.47,-10233.8,-5016.6,-10386.3,-8691.2,4039.5,4452.8,1070.2,-4288.3,-8695.4,6202.5,-1884.4,4245.8,2298.2,2373.3,4147.5,,
0,0.4733,-4685.1,-1099.8,-5212.7,-3471.2,894.8,1232.3,-1225.8,-955.5,10953.9,2135.1,-3572.3,560.8,349.7,284.2,1180,,
0,0.4767,-2346.2,-2519.4,-4408.5,-2943.2,2719.6,3343.4,1723.2,-2826.1,-8674.3,3741.6,-3408.7,1705,2485.3,2844.4,3481.4,,
0,0.48,-5512.7,-7839.8,-8750.9,-7610.2,7679.1,8667.2,6994.2,-8009.8,-47997.2,9402.9,-1560.4,6530.4,6576.2,7497.7,8739.4,,
0,0.4833,-10982.8,-11730.9,-13877.6,-12784.9,10806.8,11872.3,9353.3,-11311.1,-67754.3,13449.7,110,10208.2,8512.8,9579.9,11687.2,,
0,0.4867,-13255.6,-10290.2,-14647.5,-13270.6,8963.7,9741.7,6480.3,-9417.5,-48216.2,11824.5,-71.3,9050.3,6315.6,6978.7,9366.3,,
0,0.49,-10026.2,-4940.5,-10275.9,-8553.7,3975.2,4389.8,1279,-4206.3,-8893.7,6133.8,-1909,4196.6,2130.8,2254.2,4085.6,,
0,0.4933,-4489.1,-1008.2,-5116.9,-3319.6,809.6,1151.3,-1029.4,-867.7,10952.5,2044.5,-3547.4,479.6,101,90.1,1114.7,,
0,0.4967,-2149.5,-2403.6,-4312.1,-2774.5,2615.7,3250.5,1876.5,-2719.9,-8472.1,3623.7,-3341.8,1599.1,2229.7,2619.8,3416.8,,
0,0.5,-5325.3,-7716.3,-8650.8,-7443.9,7577.3,8578.3,7102.4,-7896.3,-47739.6,9277.8,-1504.5,6425.8,6375.8,7296.4,8684.8,,
0,0.5033,-10829.1,-11624.6,-13779.5,-12645.3,10725.7,11798,9433.6,-11211.3,-67615.7,13343.9,119,10127.5,8387.1,9436.8,11644.1,,
0,0.5067,-13146.4,-10210.3,-14549.5,-13163.4,8903.1,9678.1,6546.8,-9340.6,-48252.3,11746.6,-93.6,8994.9,6247.4,6898.6,9324.2,,
0,0.51,-9938.7,-4871.6,-10160.9,-8458.3,3918,4323.7,1331.8,-4140.9,-9010.7,6067.3,-1916.6,4149.1,2093.3,2218.7,4030.3,,
1,0.5133,-4378.1,-925,-4964.8,-3207.1,739.1,1074.2,-994.9,-792.9,10899,1963.6,-3509.8,422.2,79.8,73.6,1041.8,,
1,0.5167,-1984.1,-2293.9,-4121.4,-2633.5,2531,3167.1,1900.2,-2624,-8392.4,3517.5,-3269,1529,2223.9,2602.2,3336.3,,
0,0.52,-5117.2,-7591.4,-8449.6,-7291.6,7492.4,8501.4,7138.4,-7785.9,-47565.4,9159.2,-1433.3,6353.9,6382.8,7268.3,8611.9,,
0,0.5233,-10626,-11507.2,-13610.1,-12511.3,10654.9,11734.8,9503.3,-11103.6,-67421.7,13236.1,157.5,10063.9,8390.5,9397.6,11585.6,,
